,corr u,corr v,t table,t compute u,t compute v
3,0.20947444761083261,0.3777065553774797,1.6471344852770153,5.540995632115017,10.550950992716372
16,0.34901937927999427,0.06461342216040313,1.6471344852770153,9.633175586579991,1.6747279437321714
17,0.06666041518393262,0.09806038749764444,1.6471344852770153,1.7280175194350498,2.5486184399380387
18,0.1829864718411451,0.07260743805992942,1.6471344852770153,4.814237700468482,1.8829637775058161
33,0.14936493914285215,0.13853486695737496,1.6471344852770153,3.9071592522666703,3.618096375563037
34,0.2913865679838156,0.10949994700858103,1.6471344852770153,7.878612931905161,2.8493536154380243
35,0.445466728272036,0.08466799450598353,1.6471344852770153,12.869464524441407,2.1978325194463593
36,0.6096386095350932,0.0745530558143318,1.6471344852770153,19.892433013086883,1.933698736509577
38,0.06616289155445294,0.2532483676165582,1.6471344852770153,1.7150634467884387,6.771003673805732
39,0.09962729805870678,0.23630282729298438,1.6471344852770153,2.5897479330999733,6.290120338095712
40,0.2501715856246658,0.1882930824746289,1.6471344852770153,6.683212669952874,4.95890759913109
41,0.0719817345100791,0.3152910288010998,1.6471344852770153,1.8666522214398282,8.593315054106444
42,0.0923503537020022,0.3011746101831345,1.6471344852770153,2.3988965718680877,8.169195471101153
43,0.22872307243826,0.2647809543817572,1.6471344852770153,6.07702269954175,7.102050713145865
44,0.07794680720605494,0.39147519894259225,1.6471344852770153,2.0222494980657997,11.00374292972958
45,0.10149380026605906,0.394248176458852,1.6471344852770153,2.638766764931489,11.095971803092791
46,0.19025593359276888,0.36033873758885027,1.6471344852770153,5.012532532742266,9.991379465304979
47,0.0866246260742391,0.4570883664775768,1.6471344852770153,2.249002877806351,13.292470575783524
48,0.08225781567260265,0.478333770999573,1.6471344852770153,2.134836005822946,14.088394112352512
49,0.17408437402083007,0.4832944549430004,1.6471344852770153,4.572517261303558,14.278731380601963
50,0.09563597914526961,0.5204711348380923,1.6471344852770153,2.48501827416957,15.765699351276462
51,0.07644623225572159,0.5442007229970869,1.6471344852770153,1.9830875190973662,16.77774083564316
52,0.16149593862599115,0.5864889806771951,1.6471344852770153,4.232658507355067,18.72883838427204
53,0.0912539309484956,0.5720260265217657,1.6471344852770153,2.370175242044667,18.038079745170467
54,0.0744841525763376,0.5937325287544721,1.6471344852770153,1.9319016034135348,19.084911843686424
55,0.13978432773134108,0.6712709738890712,1.6471344852770153,3.6513757348986875,23.424399459451987
58,0.11326201715607848,0.68229924257349,1.6471344852770153,2.948499097360115,24.13944040938587
59,0.18380995421912527,0.7441287708298319,1.6471344852770153,4.836658730528011,28.81118720810132
61,0.0751778842009987,0.608113858111169,1.6471344852770153,1.949996774619415,19.813427457028013
62,0.13239497739381323,0.6675026687624985,1.6471344852770153,3.4548132194418613,23.18668780550991
64,0.07123093138137696,0.44339214002227173,1.6471344852770153,1.8470823486362962,12.79482097472255
65,0.12658155173974023,0.4885415232684706,1.6471344852770153,3.3005854146917226,14.482011022838366
67,0.07002732978435659,0.09274660991761328,1.6471344852770153,1.8157167393716043,2.4092788565068948
68,0.12806625126674853,0.1225285205546568,1.6471344852770153,3.339940337617152,3.193265668697451
